                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.4328,                 1.6788,                 1.5067,                0.52641,                0.57688,                0.58678,                0.29057,                 1.7696,                 1.7882,                  1.775,               0.003664,               0.003664,               0.003664
                     67,                 1.4256,                 1.6744,                 1.5079,                0.54921,                0.55548,                0.57955,                0.28311,                 1.7744,                 1.7621,                 1.7756,               0.003565,               0.003565,               0.003565
                     68,                 1.4313,                 1.6985,                   1.51,                0.56329,                0.59161,                0.57925,                0.29087,                 1.7318,                 1.7866,                 1.7542,               0.003466,               0.003466,               0.003466
                     69,                 1.4242,                 1.6627,                 1.5036,                0.60161,                0.60464,                0.60559,                0.30617,                 1.7344,                  1.726,                 1.7454,               0.003367,               0.003367,               0.003367
                     70,                 1.4058,                 1.6553,                 1.4969,                0.58925,                0.59689,                0.59668,                 0.2913,                 1.7602,                 1.7799,                 1.7731,               0.003268,               0.003268,               0.003268
                     71,                  1.405,                 1.6463,                 1.4883,                0.54795,                0.63996,                0.59477,                0.29884,                 1.7794,                 1.7277,                 1.7722,               0.003169,               0.003169,               0.003169
                     72,                 1.4114,                 1.6331,                 1.4914,                0.52581,                0.63025,                0.60318,                0.29843,                 1.7451,                 1.7361,                 1.7384,                0.00307,                0.00307,                0.00307
                     73,                   1.39,                 1.6496,                 1.4784,                0.57982,                0.58056,                0.57816,                0.28719,                 1.7793,                 1.7212,                 1.7801,               0.002971,               0.002971,               0.002971
                     74,                 1.3862,                 1.6205,                 1.4791,                0.55942,                0.60102,                0.57955,                0.27204,                  1.805,                 1.7981,                 1.8158,               0.002872,               0.002872,               0.002872
                     75,                 1.4035,                 1.6294,                 1.4936,                 0.5621,                0.61652,                0.59185,                0.28944,                 1.7667,                 1.7126,                 1.7763,               0.002773,               0.002773,               0.002773
                     76,                 1.3852,                 1.6125,                 1.4696,                0.54807,                0.61063,                0.59216,                0.29081,                 1.7623,                 1.7405,                 1.7574,               0.002674,               0.002674,               0.002674
                     77,                 1.3937,                 1.6236,                 1.4766,                0.54305,                0.58417,                0.57958,                0.28052,                 1.8054,                 1.7773,                 1.8091,               0.002575,               0.002575,               0.002575
                     78,                 1.3798,                 1.5862,                 1.4704,                  0.575,                0.57694,                0.59175,                0.29607,                 1.7701,                  1.729,                 1.7643,               0.002476,               0.002476,               0.002476
                     79,                 1.3558,                 1.6056,                 1.4648,                0.61495,                 0.5741,                0.60639,                0.30424,                 1.7431,                 1.6875,                 1.7607,               0.002377,               0.002377,               0.002377
                     80,                 1.3748,                 1.5749,                 1.4566,                0.56906,                0.61483,                0.60603,                0.30033,                 1.7921,                  1.711,                 1.7835,               0.002278,               0.002278,               0.002278
                     81,                 1.3538,                 1.5515,                 1.4491,                0.57984,                0.62587,                0.59577,                 0.2925,                  1.783,                  1.732,                 1.7956,               0.002179,               0.002179,               0.002179
                     82,                 1.3516,                 1.5657,                 1.4505,                0.54327,                0.60825,                 0.5996,                0.29593,                 1.8045,                 1.7118,                  1.805,                0.00208,                0.00208,                0.00208
                     83,                 1.3596,                 1.5631,                 1.4597,                 0.6085,                0.57689,                0.59443,                0.29764,                 1.7929,                 1.7144,                 1.7962,               0.001981,               0.001981,               0.001981
                     84,                 1.3514,                 1.5479,                  1.443,                0.56738,                0.60657,                0.61167,                0.29989,                 1.8137,                 1.7226,                 1.7993,               0.001882,               0.001882,               0.001882
                     85,                 1.3401,                 1.5405,                  1.438,                0.58256,                0.61184,                0.59648,                 0.2909,                 1.8349,                 1.7233,                 1.8138,               0.001783,               0.001783,               0.001783
                     86,                  1.352,                 1.5299,                 1.4405,                0.60684,                0.56255,                0.59118,                 0.2871,                 1.8033,                 1.7492,                 1.8277,               0.001684,               0.001684,               0.001684
                     87,                 1.3364,                 1.5265,                 1.4322,                0.55359,                0.60242,                0.58727,                0.29253,                   1.83,                 1.7444,                 1.8287,               0.001585,               0.001585,               0.001585
                     88,                 1.3292,                 1.4912,                 1.4225,                0.57918,                0.62155,                 0.6095,                0.29711,                 1.8171,                 1.7002,                   1.81,               0.001486,               0.001486,               0.001486
                     89,                 1.3261,                  1.518,                  1.426,                0.56771,                0.59251,                0.60327,                0.30242,                 1.8114,                 1.7176,                 1.8065,               0.001387,               0.001387,               0.001387
                     90,                  1.319,                   1.49,                 1.4151,                0.59506,                 0.6331,                0.61921,                0.30476,                  1.825,                 1.6797,                 1.8197,               0.001288,               0.001288,               0.001288
                     91,                 1.3097,                 1.3779,                 1.4372,                0.56043,                0.62948,                0.60686,                0.30002,                 1.8273,                 1.6968,                 1.8319,               0.001189,               0.001189,               0.001189
                     92,                 1.2801,                 1.3134,                 1.4172,                0.55344,                 0.5932,                0.59003,                0.29268,                 1.8111,                 1.7139,                 1.8161,                0.00109,                0.00109,                0.00109
                     93,                 1.2588,                  1.286,                 1.4065,                0.55911,                0.61626,                0.60276,                0.28973,                 1.8701,                 1.7018,                  1.851,               0.000991,               0.000991,               0.000991
                     94,                 1.2537,                 1.2645,                 1.4076,                0.58765,                0.55975,                0.59352,                0.29004,                 1.8343,                 1.6877,                 1.8372,               0.000892,               0.000892,               0.000892
                     95,                 1.2411,                 1.2703,                 1.3949,                0.58016,                0.59481,                0.60276,                0.29638,                 1.8461,                 1.6953,                 1.8484,               0.000793,               0.000793,               0.000793
                     96,                 1.2262,                 1.2445,                 1.3822,                0.55914,                 0.6167,                0.60431,                0.28801,                  1.844,                 1.6889,                 1.8409,               0.000694,               0.000694,               0.000694
                     97,                 1.2161,                 1.2343,                   1.38,                0.58408,                0.59152,                0.60183,                0.28687,                 1.8323,                 1.7184,                 1.8312,               0.000595,               0.000595,               0.000595
                     98,                  1.214,                 1.2082,                 1.3743,                0.54726,                0.62223,                0.60637,                0.29388,                  1.827,                 1.6933,                 1.8273,               0.000496,               0.000496,               0.000496
                     99,                 1.2081,                 1.2021,                 1.3731,                0.57504,                 0.6054,                0.60861,                0.28729,                 1.8327,                 1.6961,                 1.8278,               0.000397,               0.000397,               0.000397
                    100,                 1.2103,                 1.2062,                 1.3722,                0.58716,                0.57894,                0.60434,                 0.2862,                 1.8269,                  1.692,                 1.8271,               0.000298,               0.000298,               0.000298
